id,name,state_id,in_state_tuition,out_state_tuition,acceptance_rate,designation,size,midpoint_ACT,midpoint_SAT,school_site
174783,Summit Academy Opportunities Industrialization Center,23,,,,2,258,,,WWW.SAOIC.ORG
174792,United Theological Seminary of the Twin Cities,23,,,,2,,,,www.unitedseminary.edu
174817,Vermilion Community College,23,5323,6505,,1,478,,,www.vcc.edu/
174844,Dunwoody College of Technology,23,19652,19652,0.724,2,1069,,,www.dunwoody.edu
174862,Ridgewater College,23,5400,5400,,1,3199,,,www.ridgewater.edu
174899,Minnesota State College-Southeast Technical,23,5617,5617,,1,1660,,,www.southeastmn.edu
174914,Winona State University,23,8750,14250,0.6304,1,7944,23,1050,www.winona.edu
174978,William Mitchell College of Law,23,,,,2,,,,www.wmitchell.edu
175005,Century College,23,5373,5373,,1,8755,,,www.century.edu
175014,Alcorn State University,24,6200,6200,0.7844,1,3006,18,872,www.alcorn.edu
175041,Belhaven University,24,20780,20780,0.7169,2,2546,,,www.belhaven.edu
175078,Blue Mountain College,24,10534,10534,0.5503,2,498,22,1030,www.bmc.edu
175120,Chris Beauty College,24,,,,3,70,,,www.chrisbeautycollege.edu
175139,Coahoma Community College,24,2240,3240,,1,1875,,,www.coahomacc.edu/
175157,Antonelli College-Jackson,24,15980,15980,,3,374,,,www.antonellicollege.edu
175227,Copiah-Lincoln Community College,24,2455,4455,,1,2657,,,www.colin.edu
175236,Creations College of Cosmetology,24,,,,3,27,,,www.creationscosmetology.com
175263,Delta Beauty College,24,,,,3,48,,,deltabeautyschool.com
175272,Delta State University,24,6562,6562,0.9234,1,2778,21,968,www.deltastate.edu
175281,East Central Community College,24,2170,4270,,1,2255,,,www.eccc.edu
175315,East Mississippi Community College,24,2600,4800,,1,4127,,,www.eastms.edu/
175342,Fosters Cosmetology College,24,,,,3,34,,,www.fosters.edu
175421,Academy of Hair Design-Grenada,24,,,,3,55,,,www.academyofhair.com/grenada-campus
175430,Hinds Community College,24,2500,5100,,1,10447,,,www.hindscc.edu
175494,Holmes Community College,24,2288,4868,,1,5353,,,www.holmescc.edu
175519,Itawamba Community College,24,2420,4620,,1,5037,,,www.iccms.edu
175528,Jackson State University,24,6602,16174,0.7047,1,7160,19,911,www.jsums.edu
175573,Jones County Junior College,24,2722,4722,,1,4455,,,www.jcjc.edu
175591,Meridian Community College,24,2430,3830,,1,3255,,,www.meridiancc.edu
175607,Millsaps College,24,33982,33982,0.5718,2,762,26,1178,www.millsaps.edu
175616,Mississippi Delta Community College,24,2490,4098,,1,2352,,,www.msdelta.edu/
175643,University of Mississippi,24,7096,19144,0.8122,1,17809,24,1098,www.olemiss.edu
175652,Mississippi University for Women,24,5640,15360,0.9361,1,2316,21,988,www.muw.edu
175698,Mississippi Valley State University,24,5916,5916,0.1633,1,1813,17,825,www.mvsu.edu
175722,Mississippi College,24,15458,15458,0.6304,2,2942,25,1120,www.mc.edu
175786,Mississippi College of Beauty Culture,24,,,,3,61,,,hatfieldsinc.com
175810,Mississippi Gulf Coast Community College,24,2732,4578,,1,9129,,,https://www.mgccc.edu
175829,Mississippi State University,24,7140,18478,0.7102,1,15800,25,1126,www.msstate.edu
175856,Northeast Mississippi Community College,24,2301,4551,,1,3257,,,www.nemcc.edu
175883,Northwest Mississippi Community College,24,2550,4950,,1,6863,,,www.northwestms.edu
175935,Pearl River Community College,24,2855,5253,,1,4529,,,www.prcc.edu
175980,Rust College,24,9286,9286,0.3885,2,963,16,760,www.rustcollege.edu
176008,Southeastern Baptist College,24,5130,5130,,2,39,,,www.southeasternbaptist.edu
176017,Southwest Mississippi Community College,24,2620,5320,,1,1843,,,www.smcc.edu
176035,University of Southern Mississippi,24,6980,15550,0.6674,1,11939,22,1029,www.usm.edu
176044,Magnolia College of Cosmetology,24,,,,3,157,,,www.mcocjackson.com
176053,Tougaloo College,24,10218,10218,0.403,2,895,18,864,www.tougaloo.edu
176062,Wesley Biblical Seminary,24,,,,2,,,,www.wbs.edu
176071,William Carey University,24,11400,11400,0.5042,2,2039,24,1080,www.wmcarey.edu
176080,Aquinas Institute of Theology,25,,,,2,,,,www.ai.edu
176169,Assemblies of God Theological Seminary,25,,,,2,,,,www.agts.edu
176178,Avila University,25,25700,25700,0.5198,2,1321,23,1038,www.Avila.edu
176239,ITT Technical Institute-Earth City,25,18048,18048,0.6196,3,517,,,www.itt-tech.edu
176318,Baptist Bible College,25,9050,9050,,2,317,,,www.gobbc.edu
176336,House of Heavilin Beauty College-Blue Springs,25,,,,3,102,,,kc-hair.com
176354,Cox College,25,10150,10150,0.5455,2,744,,,www.coxcollege.edu
176372,Calvary Bible College and Theological Seminary,25,10600,10600,1,2,225,22,1014,www.calvary.edu
176390,Cape Girardeau Career and Technology Center,25,,,,1,320,,,www.capectc.org
176406,Central Christian College of the Bible,25,11700,11700,0.424,2,289,,,www.cccb.edu
176451,Central Methodist University-College of Liberal Arts and Sciences,25,21830,21830,0.6053,2,1175,23,1050,www.centralmethodist.edu/
176479,University of Central Missouri,25,7265,13659,0.7795,1,9017,22,1010,www.ucmo.edu
176600,Grand River Technical School,25,,,0.7662,1,90,,,www.grts.org
176619,Chillicothe Beauty Academy Inc,25,,,,3,15,,,www.chillicothebeautyacademy.com/
176628,Cleveland University-Kansas City,16,9120,9120,1,2,47,23,1050,www.cleveland.edu
176637,Columbia Area Career Center,25,,,0.9474,1,55,,,www.career-center.org
176664,Conception Seminary College,25,19530,19530,1,2,86,24,1105,www.conception.edu
176716,Concordia Seminary,25,,,,2,,,,www.csl.edu
176770,Cottey College,25,19300,19300,0.7063,2,269,22,1019,www.cottey.edu
176789,Covenant Theological Seminary,25,,,,2,,,,www.covenantseminary.edu
176798,Crowder College,25,2232,3048,,1,4285,,,www.crowder.edu
176910,Culver-Stockton College,25,24050,24050,0.5772,2,931,21,986,www.culver.edu
176947,Drury University,25,23885,23885,0.7441,2,3790,26,1185,www.drury.edu
176965,East Central College,25,2280,4488,,1,2914,,,www.eastcentral.edu
176983,Eden Theological Seminary,25,,,,2,,,,www.eden.edu
176992,Elaine Steven Beauty College,25,,,,3,180,,,www.elainestevenbeautycollege.com
177038,Pinnacle Career Institute-South Kansas City,25,14048,14048,,3,580,,,PCITRAINING.EDU
177056,Evangel University,25,20796,20796,0.6453,2,1788,23,1055,www.evangel.edu
177065,Fontbonne University,25,22770,22770,0.9061,2,1121,23,1052,www.fontbonne.edu
177083,Forest Institute of Professional Psychology,25,,,,2,,,,www.forest.edu
177092,Four Rivers Career Center,25,13686,13686,,1,36,,,frcc-sdow-mo.schoolloop.com/
177117,Ozarks Technical Community College,25,2784,5064,,1,12373,,,www.otc.edu
177126,Hannibal-LaGrange University,25,19530,19530,0.6118,2,865,,,www.hlg.edu
177135,Harris-Stowe State University,25,5210,9853,,1,1256,,,www.hssu.edu
177144,Hickey College,25,13850,13850,,3,415,,,www.hickeycollege.edu
177214,House of Heavilin Beauty College-Kansas City,25,,,,3,37,,,kc-hair.com
177250,Independence College of Cosmetology,25,,,,3,47,,,www.hair-skin-nails.com
177278,Jefferson College,25,2328,4656,,1,4705,,,www.jeffco.edu
177287,Paul Mitchell the School-Missouri Columbia,25,,,,3,53,,,missouricolumbia.paulmitchell.edu/
